movieID,nameID
tt0070596,nm0749914
tt0070596,nm0765384
tt0169526,nm0274143
tt0191010,nm0842379
tt0202523,nm1126758
tt0368133,nm0698464
tt0451272,nm1235298
tt0453528,nm1430400
tt0473100,nm0656065
tt0875612,nm0566041
tt0887261,nm1410159
tt0902292,nm2245642
tt10004032,nm1454596
tt10004032,nm1189743
tt10009608,nm3270894
tt10009608,nm3615875
tt10013588,nm10544333
tt10014534,nm2863372
tt10015244,nm6136445
tt10021068,nm1870028
tt10023266,nm7053856
tt10035194,nm5025409
tt10037498,nm6743460
tt10042482,nm4738310
tt10047464,nm3185193
tt10047904,nm1195601
tt10054946,nm3468427
tt10065936,nm2538949
tt10066750,nm7473882
tt10073640,nm10569971
tt10073640,nm10569972
tt10077090,nm10560071
tt10078886,nm4269006
tt10080110,nm1615332
tt10080130,nm7148363
tt10083340,nm0080220
tt10087728,nm4015380
tt10090058,nm2538739
tt10091272,nm3225840
tt10092170,nm3019034
tt10092698,nm2202596
tt10092698,nm2753152
tt10095328,nm0201504
tt10097442,nm0796102
tt10098448,nm2296528
tt10121904,nm10592213
tt10126368,nm2407490
tt10127964,nm10571896
tt10128020,nm9832523
tt10128846,nm0000338
tt10131024,nm0142286
tt10133702,nm0190790
tt10136634,nm9768307
tt10137324,nm2728080
tt10140990,nm1628224
tt10141678,nm3521846
tt10147370,nm4681303
tt10148150,nm0024869
tt10150908,nm3310766
tt10151386,nm2729685
tt10152488,nm1462495
tt10155748,nm0777881
tt1016150,nm0074163
tt10164206,nm1274199
tt10165952,nm3663591
tt10171472,nm0583654
tt10172168,nm4563809
tt10172266,nm5870715
tt10172522,nm0651723
tt10174052,nm2158098
tt10182420,nm4571073
tt10186074,nm3659847
tt10188844,nm10622541
tt10192352,nm2080637
tt10193142,nm1852101
tt10193608,nm3079697
tt10194058,nm3344990
tt10196368,nm9276171
tt10198368,nm7339841
tt10198564,nm1595718
tt10199070,nm5414860
tt10210064,nm1283651
tt10211984,nm0801220
tt10212042,nm3279125
tt10214548,nm4904474
tt10225378,nm7634825
tt10228618,nm3848723
tt10228976,nm10553909
tt10228976,nm4860790
tt10228976,nm2459544
tt10229260,nm6689633
tt10231726,nm7944995
tt10231812,nm10642578
tt10232096,nm5324085
tt10233388,nm2590202
tt10233718,nm8012613
tt10233718,nm2426355
tt1023464,nm3034280
tt10234990,nm9289257
tt10235670,nm1346477
tt10235688,nm4836280
tt10236164,nm3281319
tt10237478,nm0339105
tt10239112,nm2115676
tt10241130,nm5095524
tt10241746,nm4836670
tt10244800,nm10666188
tt10245072,nm2477891
tt10245106,nm0688361
tt10250868,nm0903232
tt10254960,nm5756907
tt10261206,nm5683866
tt10264190,nm0820830
tt10264442,nm5870749
tt10266862,nm9104982
tt10266862,nm9095954
tt10268488,nm0268380
tt10270204,nm1723190
tt10274544,nm3896745
tt10275534,nm1167933
tt10276482,nm1475479
tt10278448,nm0066910
tt10279460,nm5876959
tt10283270,nm0906413
tt10284944,nm2006145
tt10285752,nm4939794
tt10289348,nm1170143
tt10290116,nm1680229
tt10290244,nm1928263
tt10293476,nm5697173
tt10294634,nm0003826
tt10295314,nm0784008
tt10298496,nm5144156
tt10298810,nm0533691
tt10298840,nm5945690
tt10303758,nm5518452
tt10303842,nm1488608
tt10304114,nm4277614
tt10304142,nm0751102
tt10305256,nm2278431
tt10307870,nm1287094
tt10308878,nm2693238
tt10314366,nm5970237
tt10323412,nm1175459
tt10323428,nm8186380
tt10323676,nm0757975
tt10332620,nm4142775
tt10334160,nm2521682
tt10334222,nm3208961
tt10334238,nm3678761
tt10334636,nm9351483
tt10338176,nm10696686
tt10340360,nm2283635
tt10340562,nm4242010
tt10341196,nm0358327
tt10342364,nm2360096
tt10343028,nm0336695
tt10346834,nm3070098
tt10347354,nm7393387
tt10349686,nm3533833
tt10351180,nm0764316
tt10352594,nm1667095
tt10353588,nm5939695
tt10354106,nm0219136
tt10356382,nm9139915
tt10356564,nm4299582
tt10358566,nm1831657
tt10358912,nm10705225
tt10360808,nm4060519
tt10364034,nm5091631
tt10364508,nm1876864
tt10365998,nm0188722
tt10366418,nm1255719
tt10366418,nm2030805
tt10368758,nm0152790
tt10368758,nm0786733
tt10369638,nm0663101
tt10369964,nm3611879
tt10370812,nm3147401
tt10373344,nm1276348
tt10373344,nm1319618
tt10373934,nm10712924
tt10375094,nm2939522
tt10378420,nm1351446
tt10379142,nm3231847
tt10381102,nm0364578
tt10392914,nm4852977
tt10393182,nm5507776
tt10393330,nm2914215
tt10393870,nm4376803
tt10394654,nm3045679
tt10399586,nm2384515
tt10399608,nm2717602
tt10399622,nm9590484
tt10399628,nm6703327
tt10399660,nm0718736
tt10400116,nm0753032
tt10400116,nm0597026
tt10403420,nm2093171
tt10406466,nm2063982
tt10407924,nm1060997
tt10409618,nm3763369
tt10410506,nm0579690
tt10414276,nm7532187
tt10415020,nm0244378
tt10415562,nm6176574
tt10418680,nm0550875
tt10422486,nm2765658
tt10425998,nm1835949
tt10426110,nm6888456
tt10426110,nm6888454
tt10426548,nm10737278
tt10426548,nm6449971
tt10427666,nm10737923
tt10430844,nm2792765
tt10431332,nm1645959
tt10431512,nm2519024
tt10437158,nm0508933
tt10437158,nm9901526
tt10442096,nm2988421
tt10442352,nm0381478
tt10442852,nm0420926
tt10445402,nm0794679
tt10449276,nm1473091
tt10449310,nm4470253
tt10450852,nm0934698
tt10453358,nm5181908
tt10456358,nm5796588
tt10457390,nm10245024
tt10461442,nm5457821
tt10462154,nm0371890
tt10467112,nm1328234
tt10471376,nm3561646
tt10473036,nm0312881
tt10474680,nm7376220
tt10474784,nm10430017
tt10479990,nm3818341
tt10481760,nm2509269
tt10481990,nm3349777
tt10483152,nm4180240
tt10484164,nm5667401
tt10487924,nm8307081
tt10488710,nm7983301
tt10489128,nm3492090
tt10489208,nm0446525
tt10489208,nm5619726
tt10489428,nm2415675
tt10503270,nm12500311
tt10503664,nm9185588
tt10504026,nm3233092
tt10504264,nm4464117
tt10504992,nm3880257
tt10512248,nm5517989
tt10515720,nm1534640
tt10518176,nm10781275
tt10522278,nm0176941
tt10523122,nm2911128
tt10525072,nm6914869
tt10530704,nm9645823
tt10530838,nm1211888
tt10533360,nm4165845
tt10535522,nm1288736
tt10535522,nm0364117
tt10542492,nm5238372
tt10543530,nm7965202
tt10544752,nm6482245
tt10545696,nm0496312
tt10546394,nm2597861
tt10551654,nm1659741
tt10558652,nm3568020
tt10559102,nm3580196
tt10560338,nm10801802
tt10572980,nm0337882
tt10574868,nm3849717
tt10580188,nm2593537
tt10581324,nm3401472
tt10583416,nm4701134
tt10583596,nm2218904
tt10588504,nm1677090
tt10597204,nm2077225
tt10597228,nm7266653
tt10597418,nm5236153
tt10598156,nm10793545
tt10601948,nm3301599
tt10602132,nm3564648
tt10602182,nm1136120
tt10602234,nm0898063
tt10602688,nm4632717
tt10603396,nm0726136
tt10605740,nm9667956
tt10608624,nm10823530
tt10610440,nm0863120
tt10610666,nm1032195
tt10618968,nm0005522
tt10619392,nm2067888
tt10621206,nm0452914
tt10622260,nm0235822
tt10626774,nm0855743
tt10629014,nm6686622
tt10629360,nm0383605
tt10631148,nm3210041
tt10631148,nm3255161
tt10633878,nm0595982
tt10637160,nm0206109
tt10638522,nm4053334
tt10639624,nm8219139
tt10639624,nm2689823
tt10639624,nm5672083
tt10639624,nm5824529
tt10639624,nm3319414
tt10639624,nm8213772
tt10639624,nm3957052
tt10640084,nm9367249
tt10640346,nm3227090
tt10644708,nm1739317
tt10648342,nm0169806
tt10648908,nm3209599
tt10651230,nm3699790
tt10651230,nm1364790
tt10651304,nm8446571
tt10655356,nm3526166
tt10656794,nm0139905
tt10665342,nm0337773
tt10665972,nm2586287
tt10669794,nm1169247
tt10669888,nm2060444
tt10674504,nm0006745
