nameID,primaryName
nm0000095,Woody Allen
nm0000108,Luc Besson
nm0000116,James Cameron
nm0000126,Kevin Costner
nm0000128,Russell Crowe
nm0000141,David Duchovny
nm0000153,Gina Gershon
nm0000160,Ethan Hawke
nm0000165,Ron Howard
nm0000185,Dolph Lundgren
nm0000212,Meg Ryan
nm0000217,Martin Scorsese
nm0000218,Kristin Scott Thomas
nm0000229,Steven Spielberg
nm0000231,Oliver Stone
nm0000247,John Woo
nm0000264,Pedro Almodóvar
nm0000269,Jean-Jacques Annaud
nm0000338,Francis Ford Coppola
nm0000343,David Cronenberg
nm0000365,Julie Delpy
nm0000382,Atom Egoyan
nm0000386,Roland Emmerich
nm0000466,Jean-Pierre Jeunet
nm0000500,Richard Linklater
nm0000530,Andrew McCarthy
nm0000591,Roman Polanski
nm0000632,Jerry Seinfeld
nm0000647,Alan Smithee
nm0000694,Wim Wenders
nm0000709,Robert Zemeckis
nm0000780,Denys Arcand
nm0000783,Dario Argento
nm0000801,Olivier Assayas
nm0000806,Bille August
nm0000809,Daniel Auteuil
nm0000852,Jean-Marc Barr
nm0000876,Noah Baumbach
nm0001024,Nick Cassavetes
nm0001040,Joan Chen
nm0001053,Ethan Coen
nm0001068,Sofia Coppola
nm0001110,Embeth Davidtz
nm0001162,Griffin Dunne
nm0001206,Abel Ferrara
nm0001218,Sean Patrick Flanery
nm0001243,William Friedkin
nm0001287,Heather Graham
nm0001338,Brian Helgeland
nm0001348,Werner Herzog
nm0001353,Walter Hill
nm0001401,Angelina Jolie
nm0001403,Neil Jordan
nm0001429,Takeshi Kitano
nm0001438,Neil LaBute
nm0001554,Errol Morris
nm0001557,Viggo Mortensen
nm0001590,Chazz Palminteri
nm0001631,Sarah Polley
nm0001641,Vincent Perez
nm0001675,Robert Rodriguez
nm0001707,Paul Schrader
nm0001709,Til Schweiger
nm0001829,Rachel Ward
nm0002020,Costa-Gavras
nm0002120,Lasse Hallström
nm0002140,Agnieszka Holland
nm0002159,Alejandro Agresti
nm0002167,Gianni Amelio
nm0002178,Alexandre Arcady
nm0002180,Francesca Archibugi
nm0002191,Jacques Audiard
nm0002194,Pupi Avati
nm0002306,Boris Paval Conen
nm0002459,T.C. Christensen
nm0002645,Paolo Genovese
nm0002752,Tim Clague
nm0002848,Stephan Brenninkmeijer
nm0002916,Ray Brady
nm0002976,Kevin Mukherji
nm0003021,Chris McKay
nm0003116,Anthony C. Ferrante
nm0003152,Sean McGinly
nm0003160,Christopher McQuarrie
nm0003294,Warren Skeels
nm0003328,Peter Foldy
nm0003506,James Mangold
nm0003620,Kevin Smith
nm0003638,F.W. Murnau
nm0003726,Tallulah Hazekamp Schwab
nm0003745,Anthony Fabian
nm0003826,Eric Parkinson
nm0003884,Paulo Machline
nm0003931,Steve Balderson
nm0003939,Vikramaditya Motwane
nm0004082,Geoff Marslett
nm0004128,Craig Campobasso
nm0004139,Murilo Salles
nm0004178,Jeff Wolfe
nm0004188,Rea Tajiri
nm0004306,George Miller
nm0004470,Veerendranath Yandamoori
nm0004501,Jirí Svoboda
nm0004509,Patricia Chica
nm0004645,Antonio Sabato Jr.
nm0004667,Nikhil Kamkolkar
nm0004716,Darren Aronofsky
nm0005017,Katie Holmes
nm0005101,Harmony Korine
nm0005128,Lucy Lawless
nm0005139,Mike Leigh
nm0005171,Angus Macfadyen
nm0005222,Sam Mendes
nm0005240,Moby
nm0005363,Guy Ritchie
nm0005380,Ray Romano
nm0005389,Victoria Rowell
nm0005448,Marla Sokoloff
nm0005522,Mario Van Peebles
nm0005624,Carlos Salces
nm0006246,A.R. Rahman
nm0006395,Michael Feifer
nm0006538,Adam Lima
nm0006554,Rodrigo García
nm0006590,Georgi Djulgerov
nm0006684,Chip Joslin
nm0006745,João Mário Grilo
nm0006765,Vidhu Vinod Chopra
nm0006792,David de Vos
nm0006856,José Luis López-Linares
nm0007079,James Greer
nm0007144,Santosh Sivan
nm0007161,S.V. Krishna Reddy
nm0007235,Ilaria Borrelli
nm0007385,Jouko Aaltonen
nm0007399,Veikko Aaltonen
nm0007464,Joe Aaron
nm0007914,Lee Abbott
nm0008080,Olivier Abbou
nm0008332,Aktan Arym Kubat
nm0008333,Mirlan Abdykalykov
nm0008409,Ramzi Abed
nm0008442,Dominique Abel
nm0009357,Paulo Abreu
nm0009414,Moussa Sene Absa
nm0009435,Emily Abt
nm0009785,Isabel Achaval
nm0009803,Stuart Acher
nm0010395,Masao Adachi
nm0010602,Tina Adams
nm0010871,Daniel Adams
nm0012015,Lawrence B. Adisa
nm0012267,Trish Adlesic
nm0012345,Jörg Adolph
nm0013121,Alice Agneskirchner
nm0013676,Arantxa Aguirre
nm0013854,Noa Aharoni
nm0014160,Kiumars Poorahmad
nm0014589,Chris Aikenhead
nm0014694,Karim Aïnouz
nm0015133,Ramasimhan
nm0015142,Aydemir Akbas
nm0015295,Zoya Akhtar
nm0015359,Fatih Akin
nm0015685,Kays Al-Atrakchi
nm0016176,Juana Macías
nm0016203,Alfonso Albacete
nm0016263,Antonio Albanese
nm0016406,Eduardo Albergaria
nm0016475,Barbara Albert
nm0017599,Philip Alderton
nm0018032,Cosimo Alemà
nm0018073,Vladimir Alenikov
nm0018132,Lisa Azuelos
nm0018840,Eleni Alexandraki
nm0019115,Sebastián Alfie
nm0019665,Dean Alioto
nm0019723,Adolfo Alix Jr.
nm0020406,David Allen
nm0020811,Mark S. Allen
nm0021596,Chris M. Allport
nm0022261,Pedro Alonso
nm0022450,Noël Alpi
nm0023361,Laura Alvea
nm0023776,Alfonso Amador
nm0023929,Charles Band
nm0024580,Claudio Amendola
nm0024617,Marco Amenta
nm0024869,Toby Amies
nm0024950,Guy Amir
nm0025534,Jean-Pierre Améris
nm0025538,Patxi Amezcua
nm0026829,Jace Anderson
nm0027392,Roy T. Anderson
nm0027572,Wes Anderson
nm0027948,Roberto Andò
nm0028418,Michael Andres
nm0029242,André Téchiné
nm0029400,Michael Angarano
nm0029570,Irene Lilienheim Angelico
nm0029754,Angelyne
nm0030338,Eitan Anner
nm0030417,Hideaki Anno
nm0031866,Daoud Aoulad-Syad
nm0031976,Judd Apatow
nm0032108,Francesco Apolloni
nm0032530,Paula Apsell
nm0032685,Yuriy Arabov
nm0032714,Sherif Arafa
nm0032816,Haruhiko Arai
nm0034171,Panu Aree
nm0035229,Ralph Arlyck
nm0035531,Álvaro de Armiñán
nm0035609,Andy Armstrong
nm0035738,Jack Armstrong
nm0036331,Pascal Arnold
nm0036349,Andrea Arnold
nm0036962,Eric Aronson
nm0037136,Guel Arraes
nm0037575,Thomas Arslan
nm0037867,Yann Arthus-Bertrand
nm0038013,Meelis Arulepp
nm0038560,Jeff Knite
nm0038778,James Ashcroft
nm0039531,Semir Aslanyürek
nm0039575,Michael Asmussen
nm0039780,Shalom Assayag
nm0039873,Sergio Assisi
nm0040029,Neville Astley
nm0040248,Kutlug Ataman
nm0040407,Dimitris Athanitis
nm0040630,Mark Atkins
nm0040646,Ron Atkins
nm0040846,Jacoba Atlas
nm0040934,Hubert Attal
nm0040939,Yvan Attal
nm0041155,Kristin Atwell
nm0041315,Robin Aubert
nm0041758,Jérôme-Cecil Auffret
nm0041928,Joy Augustine
nm0042369,Dusty Austen
nm0043211,Yossi Aviram
nm0043232,Nurith Aviv
nm0043259,Aki Avni
nm0043335,Barry Avrich
nm0043429,Awie
nm0043668,Kianoush Ayari
nm0043705,Kader Ayd
nm0043953,Nabil Ayouch
nm0044137,Amit Azaz
nm0045256,Zachary Snygg
nm0045584,Steve Bacic
nm0046030,Alberto Bader
nm0046068,Ramona Badescu
nm0046424,Veerle Baetens
nm0046469,Paloma Baeza
nm0046480,Micheal Bafaro
nm0047028,Jennifer Baichwal
nm0047049,Lionel Baier
nm0047798,Mariano Baino
nm0048040,Rados Bajic
nm0048129,Boris Bakal
nm0048918,Sean Baker
nm0049371,Jaume Balagueró
nm0050472,Steve Ball
nm0050948,Sylvie Ballyot
nm0051166,Ali Taner Baltaci
nm0051206,Nic Balthazar
nm0051927,Simon Bang
nm0052755,Sharon Bar-Ziv
nm0052858,José Barahona
nm0053613,Eric Barbier
nm0053678,Renato Barbieri
nm0054077,Paris Barclay
nm0054377,Los Angeles Barea
nm0054672,Francesco Barilli
nm0055340,Marius Barna
nm0055348,Nicola Barnaba
nm0055601,Gaylene Barnes
nm0056527,John Barr
nm0056725,Christophe Barratier
nm0056987,Alexandra Barreto
nm0057666,Hector Barron
nm0057842,Olivier Baroux
nm0059698,Giulio Base
nm0059750,George Basha
nm0060076,Kim Bass
nm0060634,Michal Bat-Adam
nm0061484,Giuseppe Battiston
nm0062189,Signe Baumane
nm0062341,Michael Baumgarten
nm0062463,Andy Bausch
nm0064268,Adrien Beau
nm0064741,Xavier Beauvois
nm0064961,Gorman Bechard
nm0065007,Demián Bichir
nm0065449,Jean Becker
nm0065496,Lars Becker
nm0065644,Ruth Beckermann
nm0066138,Wendy Bednarz
nm0066525,Julia Beerhold
nm0066910,Ridha Behi
nm0067619,Stephen Belber
nm0067903,Eva Beling
nm0068095,Charlene Bell
nm0068973,Eugene John Bellida
nm0069166,Marco Bellocchio
nm0069260,Nicola Bellucci
nm0069342,Véra Belmont
nm0069582,David Belton
nm0069642,Emma Bertrán
nm0070118,Pablo Ben Yakov
nm0070159,Jafar Panahi
nm0070282,Osvaldo Benavides
nm0070456,Darren Bender
nm0070589,Niclas Bendixen
nm0071003,Angus Benfield
nm0071261,John B. Benitz
nm0071611,Bill Bennett
nm0072159,James Benning
nm0072364,Faouzi Bensaïdi
nm0072600,Ned Benson
nm0073950,Sonia Bergamasco
nm0074163,Edward Berger
nm0074311,Pablo Berger
nm0075008,Rikard Bergqvist
nm0075811,Matt Berman
nm0076307,Ludovic Bernard
nm0076473,Sabine Bernardi
nm0076679,Dieter Berner
nm0077094,Marcos Bernstein
nm0077911,Fabienne Berthaud
nm0078452,Valeria Bertuccelli
nm0078704,Éric Besnard
nm0078811,Jean-Marie Besset
nm0079105,Carlos Rafael Betancourt
nm0079448,Maggie Betts
nm0079848,Robin Bextor
nm0079923,Joseph Beyer
nm0080067,Luciana Bezerra
nm0080220,Sanjay Leela Bhansali
nm0080235,Vishal Bhardwaj
nm0080278,Vijay K. Bhaskar
nm0080333,Vikram Bhatt
nm0080524,Mayim Bialik
nm0080729,John Bianco
nm0081077,Robin Bicknell
nm0081179,Thomas Bidegain
