movieID,averageRating,numVotes
tt0070596,6.9,191
tt0120589,7.2,546
tt0164115,6.1,54
tt0169526,8.0,11
tt0191010,5.2,178
tt0202523,8.3,13
tt0287075,5.6,176
tt0327785,5.8,19727
tt0368133,5.7,9
tt0439572,6.6,242623
tt0451272,7.2,61
tt0453528,8.4,7
tt0473100,3.8,149
tt0762118,4.3,33
tt0781524,5.6,42
tt0875612,7.3,13
tt0887261,5.9,54365
tt0902292,7.0,138
tt10004032,2.8,240
tt10009608,6.2,130
tt10013512,5.7,674
tt10013588,6.0,39
tt10014534,6.7,324
tt1001520,6.1,68205
tt10015244,4.0,6914
tt10021068,7.0,8
tt10023266,7.2,151
tt10028196,5.6,180813
tt10035194,5.5,298
tt10037498,6.7,345
tt10042482,5.0,412
tt10044632,7.2,16
tt10047464,4.9,137
tt10047904,6.7,1142
tt10054946,8.0,1141
tt10062634,5.6,358
tt10064134,4.1,71
tt10065936,8.5,67
tt10066750,4.9,29
tt10071606,7.2,107
tt10073640,8.3,14
tt10077090,5.4,11
tt10078886,5.6,154
tt10079652,4.0,357
tt10080110,3.6,388
tt10080130,4.3,649
tt10083340,7.8,66099
tt10087728,4.9,303
tt10090058,5.4,961
tt10091272,2.7,42
tt10092170,6.1,1228
tt10092362,8.8,7
tt10092698,4.3,4264
tt10094388,4.6,743
tt10095328,7.8,20
tt10097442,7.0,65
tt10098448,7.1,16233
tt10121904,6.0,57
tt10126368,4.5,171
tt10127964,6.2,100
tt10128020,7.8,9
tt10128846,4.7,39941
tt10131024,5.7,11700
tt10133702,8.0,1134
tt10136634,6.5,34
tt10137324,5.7,27
tt10140990,9.2,757
tt10141678,4.2,26
tt10147370,7.2,40
tt10148150,7.4,991
tt10150908,9.0,28
tt10151386,4.8,147
tt10151854,5.9,142323
tt10152488,5.7,447
tt10155748,5.0,936
tt10160886,4.9,2148
tt10160976,5.6,78017
tt1016150,7.8,287408
tt10164206,3.5,1659
tt10165952,5.4,115
tt10168670,6.8,69766
tt10171472,6.3,7144
tt10171796,5.3,426
tt10172168,7.6,634
tt10172266,7.0,60688
tt10172522,8.5,38
tt10174052,1.9,162
tt10179362,8.4,13
tt10182420,6.1,11
tt10186074,7.4,8
tt10188844,8.6,608
tt10192352,8.8,7
tt10192406,6.6,26086
tt10193142,6.5,28
tt10193608,4.9,21
tt10194058,5.2,44
tt10196368,7.6,3427
tt10198368,9.0,51
tt10198564,4.3,1915
tt10198944,8.5,38
tt10199070,7.7,22
tt10210064,3.8,658
tt10211984,3.7,182
tt10212042,9.2,41
tt10214548,6.9,9
tt10223460,6.1,47458
tt10225378,4.7,550
tt10228618,4.8,87
